strategy,threshold,margin,alpha,beta,gamma,source_accuracy,top1_accuracy,mrr,fpr_local,fnr_local,precision_local,recall_local,f1_local,kb_utilization,local_rate,openai_rate,openai_calls,false_compliance,total_cost,tp_local,fp_local,fn_local,tn_local,objective_source_accuracy,objective_f1_local,objective_cost
cosine_margin,0.53,0.05,0.70,0.20,0.10,0.7442,0.8478,0.8986,0.3000,0.1957,0.7551,0.8043,0.7789,0.8043,0.5698,0.1628,14,2,124.2000,37,12,9,28,0.7442,0.7789,124.2000
cosine_margin,0.53,0.06,0.70,0.20,0.10,0.7442,0.8478,0.8986,0.3000,0.1957,0.7551,0.8043,0.7789,0.8043,0.5698,0.1628,14,2,124.2000,37,12,9,28,0.7442,0.7789,124.2000
cosine_margin,0.53,0.07,0.70,0.20,0.10,0.7442,0.8478,0.8986,0.2750,0.2174,0.7660,0.7826,0.7742,0.7826,0.5465,0.1860,16,2,118.8000,36,11,10,29,0.7442,0.7742,118.8000
cosine_margin,0.53,0.08,0.70,0.20,0.10,0.7442,0.8478,0.8986,0.2750,0.2174,0.7660,0.7826,0.7742,0.7826,0.5465,0.1860,16,2,118.8000,36,11,10,29,0.7442,0.7742,118.8000
cosine_margin,0.53,0.09,0.70,0.20,0.10,0.7326,0.8478,0.8986,0.2500,0.2609,0.7727,0.7391,0.7556,0.7391,0.5116,0.2209,19,2,115.7000,34,10,12,30,0.7326,0.7556,115.7000
cosine_margin,0.53,0.10,0.70,0.20,0.10,0.7209,0.8478,0.8986,0.2500,0.2826,0.7674,0.7174,0.7416,0.7174,0.5000,0.2326,20,2,118.0000,33,10,13,30,0.7209,0.7416,118.0000
cosine_margin,0.54,0.00,0.70,0.20,0.10,0.7791,0.8478,0.8986,0.3250,0.1087,0.7593,0.8913,0.8200,0.8913,0.6279,0.1047,9,2,122.7000,41,13,5,27,0.7791,0.8200,122.7000
cosine_margin,0.54,0.01,0.70,0.20,0.10,0.7791,0.8478,0.8986,0.3000,0.1304,0.7692,0.8696,0.8163,0.8696,0.6047,0.1279,11,2,117.3000,40,12,6,28,0.7791,0.8163,117.3000
cosine_margin,0.54,0.02,0.70,0.20,0.10,0.7674,0.8478,0.8986,0.3000,0.1522,0.7647,0.8478,0.8041,0.8478,0.5930,0.1395,12,2,119.6000,39,12,7,28,0.7674,0.8041,119.6000
cosine_margin,0.54,0.03,0.70,0.20,0.10,0.7442,0.8478,0.8986,0.3000,0.1957,0.7551,0.8043,0.7789,0.8043,0.5698,0.1628,14,2,124.2000,37,12,9,28,0.7442,0.7789,124.2000
